similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering,related_sets_found
0.0,0.7,1000,500000,NO FILTER,1036.548,49.107,7727.559,3006749,3006749,986715
0.0,0.75,1000,500000,NO FILTER,871.225,49.107,7727.559,2673348,2673348,964206
0.0,0.8,1000,500000,NO FILTER,695.528,49.107,7727.559,2273416,2273416,934002
0.0,0.85,1000,500000,NO FILTER,548.878,49.107,7727.559,1907985,1907985,879744
0.0,0.7,1000,500000,CHECK FILTER,980.124,49.107,7727.559,3006749,2852034,986715
0.0,0.75,1000,500000,CHECK FILTER,789.947,49.107,7727.559,2673348,2531660,964206
0.0,0.8,1000,500000,CHECK FILTER,590.707,49.107,7727.559,2273416,2107346,934002
0.0,0.85,1000,500000,CHECK FILTER,427.982,49.107,7727.559,1907985,1728877,879744
0.0,0.7,1000,500000,NN FILTER,533.776,49.107,7727.559,3006749,2547,2535
0.0,0.75,1000,500000,NN FILTER,448.358,49.107,7727.559,2673348,2394,2382
0.0,0.8,1000,500000,NN FILTER,359.112,49.107,7727.559,2273416,1077,1077
0.0,0.85,1000,500000,NN FILTER,268.529,49.107,7727.559,1907985,1037,1037
0.25,0.7,1000,500000,NO FILTER,1038.225,49.107,7727.559,3006749,3006749,984756
0.25,0.75,1000,500000,NO FILTER,866.06,49.107,7727.559,2673348,2673348,963792
0.25,0.8,1000,500000,NO FILTER,693.589,49.107,7727.559,2273416,2273416,933799
0.25,0.85,1000,500000,NO FILTER,545.784,49.107,7727.559,1907985,1907985,878482
0.25,0.7,1000,500000,CHECK FILTER,975.103,49.107,7727.559,3006749,2852028,984756
0.25,0.75,1000,500000,CHECK FILTER,787.87,49.107,7727.559,2673348,2531660,963792
0.25,0.8,1000,500000,CHECK FILTER,589.608,49.107,7727.559,2273416,2107346,933799
0.25,0.85,1000,500000,CHECK FILTER,426.222,49.107,7727.559,1907985,1728877,878482
0.25,0.7,1000,500000,NN FILTER,573.448,49.107,7727.559,3006749,2544,2532
0.25,0.75,1000,500000,NN FILTER,483.1,49.107,7727.559,2673348,2394,2382
0.25,0.8,1000,500000,NN FILTER,385.999,49.107,7727.559,2273416,1077,1077
0.25,0.85,1000,500000,NN FILTER,288.687,49.107,7727.559,1907985,1037,1037
0.5,0.7,1000,500000,NO FILTER,1031.681,49.107,7727.559,3006749,3006749,975892
0.5,0.75,1000,500000,NO FILTER,867.694,49.107,7727.559,2673348,2673348,951793
0.5,0.8,1000,500000,NO FILTER,693.398,49.107,7727.559,2273416,2273416,931599
0.5,0.85,1000,500000,NO FILTER,546.702,49.107,7727.559,1907985,1907985,875833
0.5,0.7,1000,500000,CHECK FILTER,971.71,49.107,7727.559,3006749,2848668,975892
0.5,0.75,1000,500000,CHECK FILTER,783.145,49.107,7727.559,2673348,2529966,951793
0.5,0.8,1000,500000,CHECK FILTER,585.346,49.107,7727.559,2273416,2106355,931599
0.5,0.85,1000,500000,CHECK FILTER,424.629,49.107,7727.559,1907985,1728640,875833
0.5,0.7,1000,500000,NN FILTER,573.046,49.107,7727.559,3006749,2544,2532
0.5,0.75,1000,500000,NN FILTER,482.035,49.107,7727.559,2673348,2394,2382
0.5,0.8,1000,500000,NN FILTER,385.754,49.107,7727.559,2273416,1077,1077
0.5,0.85,1000,500000,NN FILTER,288.24,49.107,7727.559,1907985,1037,1037
0.75,0.7,1000,500000,NO FILTER,1032.605,49.107,7727.559,3006749,3006749,973885
0.75,0.75,1000,500000,NO FILTER,866.218,49.107,7727.559,2673348,2673348,949627
0.75,0.8,1000,500000,NO FILTER,693.19,49.107,7727.559,2273416,2273416,929232
0.75,0.85,1000,500000,NO FILTER,548.07,49.107,7727.559,1907985,1907985,875163
0.75,0.7,1000,500000,CHECK FILTER,960.003,49.107,7727.559,3006749,2838145,973885
0.75,0.75,1000,500000,CHECK FILTER,773.8,49.107,7727.559,2673348,2519134,949627
0.75,0.8,1000,500000,CHECK FILTER,577.671,49.107,7727.559,2273416,2100303,929232
0.75,0.85,1000,500000,CHECK FILTER,417.292,49.107,7727.559,1907985,1725354,875163
0.75,0.7,1000,500000,NN FILTER,544.018,49.107,7727.559,3006749,2544,2532
0.75,0.75,1000,500000,NN FILTER,463.915,49.107,7727.559,2673348,2394,2382
0.75,0.8,1000,500000,NN FILTER,378.184,49.107,7727.559,2273416,1077,1077
0.75,0.85,1000,500000,NN FILTER,285.8,49.107,7727.559,1907985,1040,1040
